,player,info_state,actions
"Current player: 0
Round: 1
Coin Player Choices: 
Estimator Guesses: _depth_0",0,"Current player: 0
Round: 1
Coin Player Choices: 
Estimator Guesses: ","{'Player 0 chose: 5': 0.0008578688723722808, 'Player 0 chose: 4': 0.0008578688723722808, 'Player 0 chose: 3': 0.30673681902551203, 'Player 0 chose: 2': 0.23745508047508018, 'Player 0 chose: 1': 0.20850470451582834, 'Player 0 chose: 0': 0.24558765823883505}"
"Current player: 1
Round: 1
Estimator Guesses: 
Coin Player Choices: _depth_1",1,"Current player: 1
Round: 1
Estimator Guesses: 
Coin Player Choices: ","{'Player 1 chose: 5': 0.00042245631842382386, 'Player 1 chose: 4': 0.0005068256321364558, 'Player 1 chose: 3': 0.07952595419310561, 'Player 1 chose: 2': 0.2843925061926053, 'Player 1 chose: 1': 0.37720658395341117, 'Player 1 chose: 0': 0.25794567371031757}"
"Current player: 0
Round: 2
Coin Player Choices: 0 
Estimator Guesses: 1 _depth_2",0,"Current player: 0
Round: 2
Coin Player Choices: 0 
Estimator Guesses: 1 ","{'Player 0 chose: 5': 0.0005429154473376105, 'Player 0 chose: 4': 0.0005429154473376105, 'Player 0 chose: 3': 0.41191341018961003, 'Player 0 chose: 2': 0.3107530766724567, 'Player 0 chose: 1': 0.2762476822432581}"
"Current player: 1
Round: 2
Estimator Guesses: 1 
Coin Player Choices: 0 _depth_3",1,"Current player: 1
Round: 2
Estimator Guesses: 1 
Coin Player Choices: 0 ","{'Player 1 chose: 5': 0.0005768677615236763, 'Player 1 chose: 4': 0.0005768677615236759, 'Player 1 chose: 3': 0.17027458883161956, 'Player 1 chose: 2': 0.37924080369989926, 'Player 1 chose: 1': 0.44925723119005073, 'Player 1 chose: 0': 7.364075538302044e-05}"
"Current player: 0
Round: 3
Coin Player Choices: 0 1 
Estimator Guesses: 1 0 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 1 
Estimator Guesses: 1 0 ","{'Player 0 chose: 5': 0.25, 'Player 0 chose: 4': 0.25, 'Player 0 chose: 3': 0.25, 'Player 0 chose: 2': 0.25}"
"Current player: 1
Round: 3
Estimator Guesses: 1 0 
Coin Player Choices: 0 1 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 1 0 
Coin Player Choices: 0 1 ","{'Player 1 chose: 5': 0.16666666666666666, 'Player 1 chose: 4': 0.16666666666666666, 'Player 1 chose: 3': 0.16666666666666666, 'Player 1 chose: 2': 0.16666666666666666, 'Player 1 chose: 1': 0.16666666666666666, 'Player 1 chose: 0': 0.16666666666666666}"
"Current player: 0
Round: 3
Coin Player Choices: 0 1 
Estimator Guesses: 1 2 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 1 
Estimator Guesses: 1 2 ","{'Player 0 chose: 5': 0.2484742969982233, 'Player 0 chose: 4': 0.24847429699822324, 'Player 0 chose: 3': 0.2515257030017768, 'Player 0 chose: 2': 0.25152570300177685}"
"Current player: 1
Round: 3
Estimator Guesses: 1 2 
Coin Player Choices: 0 1 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 1 2 
Coin Player Choices: 0 1 ","{'Player 1 chose: 5': 0.25034942646544744, 'Player 1 chose: 4': 0.25034942646544767, 'Player 1 chose: 3': 0.24961821029960835, 'Player 1 chose: 2': 0.24961821029960835, 'Player 1 chose: 1': 3.2363234944031916e-05, 'Player 1 chose: 0': 3.2363234944031916e-05}"
"Current player: 0
Round: 3
Coin Player Choices: 0 1 
Estimator Guesses: 1 3 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 1 
Estimator Guesses: 1 3 ","{'Player 0 chose: 5': 0.2516914613951259, 'Player 0 chose: 4': 0.25169146139512616, 'Player 0 chose: 3': 0.24830853860487412, 'Player 0 chose: 2': 0.24830853860487376}"
"Current player: 1
Round: 3
Estimator Guesses: 1 3 
Coin Player Choices: 0 1 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 1 3 
Coin Player Choices: 0 1 ","{'Player 1 chose: 5': 0.2504347747365833, 'Player 1 chose: 4': 0.2504347747365836, 'Player 1 chose: 3': 0.24949314487071286, 'Player 1 chose: 2': 0.24949314487071209, 'Player 1 chose: 1': 7.208039270404775e-05, 'Player 1 chose: 0': 7.208039270404775e-05}"
"Current player: 0
Round: 3
Coin Player Choices: 0 1 
Estimator Guesses: 1 4 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 1 
Estimator Guesses: 1 4 ","{'Player 0 chose: 5': 0.0006504371367665002, 'Player 0 chose: 4': 0.0006504371367665002, 'Player 0 chose: 3': 0.49934956286323356, 'Player 0 chose: 2': 0.49934956286323356}"
"Current player: 1
Round: 3
Estimator Guesses: 1 4 
Coin Player Choices: 0 1 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 1 4 
Coin Player Choices: 0 1 ","{'Player 1 chose: 5': 0.2393619820267945, 'Player 1 chose: 4': 0.2393619820267945, 'Player 1 chose: 3': 0.23936198202679443, 'Player 1 chose: 2': 0.23936198202679443, 'Player 1 chose: 1': 0.02127603594641105, 'Player 1 chose: 0': 0.02127603594641105}"
"Current player: 0
Round: 3
Coin Player Choices: 0 1 
Estimator Guesses: 1 5 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 1 
Estimator Guesses: 1 5 ","{'Player 0 chose: 5': 0.0006504371367665002, 'Player 0 chose: 4': 0.0006504371367665002, 'Player 0 chose: 3': 0.49934956286323356, 'Player 0 chose: 2': 0.49934956286323356}"
"Current player: 1
Round: 3
Estimator Guesses: 1 5 
Coin Player Choices: 0 1 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 1 5 
Coin Player Choices: 0 1 ","{'Player 1 chose: 5': 0.2393619820267945, 'Player 1 chose: 4': 0.2393619820267945, 'Player 1 chose: 3': 0.23936198202679443, 'Player 1 chose: 2': 0.23936198202679443, 'Player 1 chose: 1': 0.02127603594641105, 'Player 1 chose: 0': 0.02127603594641105}"
"Current player: 0
Round: 3
Coin Player Choices: 0 2 
Estimator Guesses: 1 0 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 2 
Estimator Guesses: 1 0 ","{'Player 0 chose: 5': 0.3333333333333333, 'Player 0 chose: 4': 0.3333333333333333, 'Player 0 chose: 3': 0.3333333333333333}"
"Current player: 1
Round: 3
Estimator Guesses: 1 0 
Coin Player Choices: 0 2 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 1 0 
Coin Player Choices: 0 2 ","{'Player 1 chose: 5': 0.16666666666666663, 'Player 1 chose: 4': 0.16666666666666663, 'Player 1 chose: 3': 0.16666666666666663, 'Player 1 chose: 2': 0.16666666666666663, 'Player 1 chose: 1': 0.16666666666666663, 'Player 1 chose: 0': 0.16666666666666663}"
"Current player: 0
Round: 3
Coin Player Choices: 0 2 
Estimator Guesses: 1 1 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 2 
Estimator Guesses: 1 1 ","{'Player 0 chose: 5': 0.33394421636377697, 'Player 0 chose: 4': 0.3339442163637771, 'Player 0 chose: 3': 0.332111567272446}"
"Current player: 1
Round: 3
Estimator Guesses: 1 1 
Coin Player Choices: 0 2 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 1 1 
Coin Player Choices: 0 2 ","{'Player 1 chose: 5': 0.333472673283355, 'Player 1 chose: 4': 0.3334726732833552, 'Player 1 chose: 3': 0.3329726950915309, 'Player 1 chose: 2': 2.7319447252950957e-05, 'Player 1 chose: 1': 2.7319447252950957e-05, 'Player 1 chose: 0': 2.7319447252950957e-05}"
"Current player: 0
Round: 3
Coin Player Choices: 0 2 
Estimator Guesses: 1 3 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 2 
Estimator Guesses: 1 3 ","{'Player 0 chose: 5': 0.33144852331174457, 'Player 0 chose: 4': 0.3314485233117449, 'Player 0 chose: 3': 0.3371029533765106}"
"Current player: 1
Round: 3
Estimator Guesses: 1 3 
Coin Player Choices: 0 2 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 1 3 
Coin Player Choices: 0 2 ","{'Player 1 chose: 5': 0.332595842112966, 'Player 1 chose: 4': 0.3325958421129674, 'Player 1 chose: 3': 0.33459207459595447, 'Player 1 chose: 2': 7.208039270404764e-05, 'Player 1 chose: 1': 7.208039270404764e-05, 'Player 1 chose: 0': 7.208039270404764e-05}"
"Current player: 0
Round: 3
Coin Player Choices: 0 2 
Estimator Guesses: 1 4 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 2 
Estimator Guesses: 1 4 ","{'Player 0 chose: 5': 0.3333333333333333, 'Player 0 chose: 4': 0.3333333333333333, 'Player 0 chose: 3': 0.3333333333333333}"
"Current player: 1
Round: 3
Estimator Guesses: 1 4 
Coin Player Choices: 0 2 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 1 4 
Coin Player Choices: 0 2 ","{'Player 1 chose: 5': 0.31205729738692234, 'Player 1 chose: 4': 0.31205729738692234, 'Player 1 chose: 3': 0.31205729738692234, 'Player 1 chose: 2': 0.021276035946411056, 'Player 1 chose: 1': 0.021276035946411056, 'Player 1 chose: 0': 0.021276035946411056}"
"Current player: 0
Round: 3
Coin Player Choices: 0 2 
Estimator Guesses: 1 5 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 2 
Estimator Guesses: 1 5 ","{'Player 0 chose: 5': 0.3333333333333333, 'Player 0 chose: 4': 0.3333333333333333, 'Player 0 chose: 3': 0.3333333333333333}"
"Current player: 1
Round: 3
Estimator Guesses: 1 5 
Coin Player Choices: 0 2 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 1 5 
Coin Player Choices: 0 2 ","{'Player 1 chose: 5': 0.3120572973869223, 'Player 1 chose: 4': 0.3120572973869223, 'Player 1 chose: 3': 0.3120572973869223, 'Player 1 chose: 2': 0.02127603594641105, 'Player 1 chose: 1': 0.02127603594641105, 'Player 1 chose: 0': 0.02127603594641105}"
"Current player: 0
Round: 3
Coin Player Choices: 0 3 
Estimator Guesses: 1 0 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 3 
Estimator Guesses: 1 0 ","{'Player 0 chose: 5': 0.5, 'Player 0 chose: 4': 0.5}"
"Current player: 1
Round: 3
Estimator Guesses: 1 0 
Coin Player Choices: 0 3 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 1 0 
Coin Player Choices: 0 3 ","{'Player 1 chose: 5': 0.16666666666666666, 'Player 1 chose: 4': 0.16666666666666666, 'Player 1 chose: 3': 0.16666666666666666, 'Player 1 chose: 2': 0.16666666666666666, 'Player 1 chose: 1': 0.16666666666666666, 'Player 1 chose: 0': 0.16666666666666666}"
"Current player: 0
Round: 3
Coin Player Choices: 0 3 
Estimator Guesses: 1 1 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 3 
Estimator Guesses: 1 1 ","{'Player 0 chose: 5': 0.5005618805361428, 'Player 0 chose: 4': 0.4994381194638573}"
"Current player: 1
Round: 3
Estimator Guesses: 1 1 
Coin Player Choices: 0 3 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 1 1 
Coin Player Choices: 0 3 ","{'Player 1 chose: 5': 0.49985555866848164, 'Player 1 chose: 4': 0.5000351635425065, 'Player 1 chose: 3': 2.731944725295098e-05, 'Player 1 chose: 2': 2.731944725295098e-05, 'Player 1 chose: 1': 2.731944725295098e-05, 'Player 1 chose: 0': 2.731944725295098e-05}"
"Current player: 0
Round: 3
Coin Player Choices: 0 3 
Estimator Guesses: 1 2 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 3 
Estimator Guesses: 1 2 ","{'Player 0 chose: 5': 0.5007855593551475, 'Player 0 chose: 4': 0.4992144406448526}"
"Current player: 1
Round: 3
Estimator Guesses: 1 2 
Coin Player Choices: 0 3 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 1 2 
Coin Player Choices: 0 3 ","{'Player 1 chose: 5': 0.49907852412354714, 'Player 1 chose: 4': 0.5007920229366767, 'Player 1 chose: 3': 3.236323494403193e-05, 'Player 1 chose: 2': 3.236323494403193e-05, 'Player 1 chose: 1': 3.236323494403193e-05, 'Player 1 chose: 0': 3.236323494403193e-05}"
"Current player: 0
Round: 3
Coin Player Choices: 0 3 
Estimator Guesses: 1 4 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 3 
Estimator Guesses: 1 4 ","{'Player 0 chose: 5': 0.5, 'Player 0 chose: 4': 0.5}"
"Current player: 1
Round: 3
Estimator Guesses: 1 4 
Coin Player Choices: 0 3 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 1 4 
Coin Player Choices: 0 3 ","{'Player 1 chose: 5': 0.4574479281071779, 'Player 1 chose: 4': 0.4574479281071779, 'Player 1 chose: 3': 0.021276035946411052, 'Player 1 chose: 2': 0.021276035946411052, 'Player 1 chose: 1': 0.021276035946411052, 'Player 1 chose: 0': 0.021276035946411052}"
"Current player: 0
Round: 3
Coin Player Choices: 0 3 
Estimator Guesses: 1 5 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 3 
Estimator Guesses: 1 5 ","{'Player 0 chose: 5': 0.5, 'Player 0 chose: 4': 0.5}"
"Current player: 1
Round: 3
Estimator Guesses: 1 5 
Coin Player Choices: 0 3 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 1 5 
Coin Player Choices: 0 3 ","{'Player 1 chose: 5': 0.4574479281071779, 'Player 1 chose: 4': 0.4574479281071779, 'Player 1 chose: 3': 0.021276035946411052, 'Player 1 chose: 2': 0.021276035946411052, 'Player 1 chose: 1': 0.021276035946411052, 'Player 1 chose: 0': 0.021276035946411052}"
"Current player: 0
Round: 3
Coin Player Choices: 0 4 
Estimator Guesses: 1 0 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 4 
Estimator Guesses: 1 0 ",{'Player 0 chose: 5': 1.0}
"Current player: 1
Round: 3
Estimator Guesses: 1 0 
Coin Player Choices: 0 4 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 1 0 
Coin Player Choices: 0 4 ","{'Player 1 chose: 5': 0.16666666666666666, 'Player 1 chose: 4': 0.16666666666666666, 'Player 1 chose: 3': 0.16666666666666666, 'Player 1 chose: 2': 0.16666666666666666, 'Player 1 chose: 1': 0.16666666666666666, 'Player 1 chose: 0': 0.16666666666666666}"
"Current player: 0
Round: 3
Coin Player Choices: 0 4 
Estimator Guesses: 1 1 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 4 
Estimator Guesses: 1 1 ",{'Player 0 chose: 5': 1.0}
"Current player: 1
Round: 3
Estimator Guesses: 1 1 
Coin Player Choices: 0 4 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 1 1 
Coin Player Choices: 0 4 ","{'Player 1 chose: 5': 0.9998634027637352, 'Player 1 chose: 4': 2.731944725295104e-05, 'Player 1 chose: 3': 2.731944725295104e-05, 'Player 1 chose: 2': 2.731944725295104e-05, 'Player 1 chose: 1': 2.731944725295104e-05, 'Player 1 chose: 0': 2.731944725295104e-05}"
"Current player: 0
Round: 3
Coin Player Choices: 0 4 
Estimator Guesses: 1 2 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 4 
Estimator Guesses: 1 2 ",{'Player 0 chose: 5': 1.0}
"Current player: 1
Round: 3
Estimator Guesses: 1 2 
Coin Player Choices: 0 4 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 1 2 
Coin Player Choices: 0 4 ","{'Player 1 chose: 5': 0.9998381838252798, 'Player 1 chose: 4': 3.236323494403195e-05, 'Player 1 chose: 3': 3.236323494403195e-05, 'Player 1 chose: 2': 3.236323494403195e-05, 'Player 1 chose: 1': 3.236323494403195e-05, 'Player 1 chose: 0': 3.236323494403195e-05}"
"Current player: 0
Round: 3
Coin Player Choices: 0 4 
Estimator Guesses: 1 3 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 4 
Estimator Guesses: 1 3 ",{'Player 0 chose: 5': 1.0}
"Current player: 1
Round: 3
Estimator Guesses: 1 3 
Coin Player Choices: 0 4 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 1 3 
Coin Player Choices: 0 4 ","{'Player 1 chose: 5': 0.9996395980364797, 'Player 1 chose: 4': 7.208039270404776e-05, 'Player 1 chose: 3': 7.208039270404776e-05, 'Player 1 chose: 2': 7.208039270404776e-05, 'Player 1 chose: 1': 7.208039270404776e-05, 'Player 1 chose: 0': 7.208039270404776e-05}"
"Current player: 0
Round: 3
Coin Player Choices: 0 4 
Estimator Guesses: 1 5 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 4 
Estimator Guesses: 1 5 ",{'Player 0 chose: 5': 1.0}
"Current player: 1
Round: 3
Estimator Guesses: 1 5 
Coin Player Choices: 0 4 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 1 5 
Coin Player Choices: 0 4 ","{'Player 1 chose: 5': 0.8936198202679447, 'Player 1 chose: 4': 0.02127603594641105, 'Player 1 chose: 3': 0.02127603594641105, 'Player 1 chose: 2': 0.02127603594641105, 'Player 1 chose: 1': 0.02127603594641105, 'Player 1 chose: 0': 0.02127603594641105}"
"Current player: 0
Round: 3
Coin Player Choices: 0 5 
Estimator Guesses: 1 0 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 5 
Estimator Guesses: 1 0 ",{'Player 0 chose: 5': 1.0}
"Current player: 1
Round: 3
Estimator Guesses: 1 0 
Coin Player Choices: 0 5 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 1 0 
Coin Player Choices: 0 5 ","{'Player 1 chose: 5': 0.16666666666666666, 'Player 1 chose: 4': 0.16666666666666666, 'Player 1 chose: 3': 0.16666666666666666, 'Player 1 chose: 2': 0.16666666666666666, 'Player 1 chose: 1': 0.16666666666666666, 'Player 1 chose: 0': 0.16666666666666666}"
"Current player: 0
Round: 3
Coin Player Choices: 0 5 
Estimator Guesses: 1 1 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 5 
Estimator Guesses: 1 1 ",{'Player 0 chose: 5': 1.0}
"Current player: 1
Round: 3
Estimator Guesses: 1 1 
Coin Player Choices: 0 5 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 1 1 
Coin Player Choices: 0 5 ","{'Player 1 chose: 5': 0.9998634027637352, 'Player 1 chose: 4': 2.731944725295104e-05, 'Player 1 chose: 3': 2.731944725295104e-05, 'Player 1 chose: 2': 2.731944725295104e-05, 'Player 1 chose: 1': 2.731944725295104e-05, 'Player 1 chose: 0': 2.731944725295104e-05}"
"Current player: 0
Round: 3
Coin Player Choices: 0 5 
Estimator Guesses: 1 2 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 5 
Estimator Guesses: 1 2 ",{'Player 0 chose: 5': 1.0}
"Current player: 1
Round: 3
Estimator Guesses: 1 2 
Coin Player Choices: 0 5 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 1 2 
Coin Player Choices: 0 5 ","{'Player 1 chose: 5': 0.9998381838252798, 'Player 1 chose: 4': 3.236323494403195e-05, 'Player 1 chose: 3': 3.236323494403195e-05, 'Player 1 chose: 2': 3.236323494403195e-05, 'Player 1 chose: 1': 3.236323494403195e-05, 'Player 1 chose: 0': 3.236323494403195e-05}"
"Current player: 0
Round: 3
Coin Player Choices: 0 5 
Estimator Guesses: 1 3 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 5 
Estimator Guesses: 1 3 ",{'Player 0 chose: 5': 1.0}
"Current player: 1
Round: 3
Estimator Guesses: 1 3 
Coin Player Choices: 0 5 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 1 3 
Coin Player Choices: 0 5 ","{'Player 1 chose: 5': 0.9996395980364797, 'Player 1 chose: 4': 7.208039270404776e-05, 'Player 1 chose: 3': 7.208039270404776e-05, 'Player 1 chose: 2': 7.208039270404776e-05, 'Player 1 chose: 1': 7.208039270404776e-05, 'Player 1 chose: 0': 7.208039270404776e-05}"
"Current player: 0
Round: 3
Coin Player Choices: 0 5 
Estimator Guesses: 1 4 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 5 
Estimator Guesses: 1 4 ",{'Player 0 chose: 5': 1.0}
"Current player: 1
Round: 3
Estimator Guesses: 1 4 
Coin Player Choices: 0 5 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 1 4 
Coin Player Choices: 0 5 ","{'Player 1 chose: 5': 0.8936198202679447, 'Player 1 chose: 4': 0.021276035946411052, 'Player 1 chose: 3': 0.021276035946411052, 'Player 1 chose: 2': 0.021276035946411052, 'Player 1 chose: 1': 0.021276035946411052, 'Player 1 chose: 0': 0.021276035946411052}"
"Current player: 0
Round: 2
Coin Player Choices: 0 
Estimator Guesses: 2 _depth_2",0,"Current player: 0
Round: 2
Coin Player Choices: 0 
Estimator Guesses: 2 ","{'Player 0 chose: 5': 0.0005429154473376104, 'Player 0 chose: 4': 0.0005429154473376104, 'Player 0 chose: 3': 0.4126825018298239, 'Player 0 chose: 2': 0.3101320867534122, 'Player 0 chose: 1': 0.2760995805220887}"
"Current player: 1
Round: 2
Estimator Guesses: 2 
Coin Player Choices: 0 _depth_3",1,"Current player: 1
Round: 2
Estimator Guesses: 2 
Coin Player Choices: 0 ","{'Player 1 chose: 5': 0.000613084194261257, 'Player 1 chose: 4': 0.000613084194261257, 'Player 1 chose: 3': 0.1705001866772782, 'Player 1 chose: 2': 0.37878255826327867, 'Player 1 chose: 1': 0.4493934125860803, 'Player 1 chose: 0': 9.767408484021505e-05}"
"Current player: 0
Round: 3
Coin Player Choices: 0 1 
Estimator Guesses: 2 0 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 1 
Estimator Guesses: 2 0 ","{'Player 0 chose: 5': 0.25, 'Player 0 chose: 4': 0.25, 'Player 0 chose: 3': 0.25, 'Player 0 chose: 2': 0.25}"
"Current player: 1
Round: 3
Estimator Guesses: 2 0 
Coin Player Choices: 0 1 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 2 0 
Coin Player Choices: 0 1 ","{'Player 1 chose: 5': 0.16666666666666666, 'Player 1 chose: 4': 0.16666666666666666, 'Player 1 chose: 3': 0.16666666666666666, 'Player 1 chose: 2': 0.16666666666666666, 'Player 1 chose: 1': 0.16666666666666666, 'Player 1 chose: 0': 0.16666666666666666}"
"Current player: 0
Round: 3
Coin Player Choices: 0 1 
Estimator Guesses: 2 2 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 1 
Estimator Guesses: 2 2 ","{'Player 0 chose: 5': 0.24967112159459448, 'Player 0 chose: 4': 0.24967112159459426, 'Player 0 chose: 3': 0.25012580883266183, 'Player 0 chose: 2': 0.2505319479781496}"
"Current player: 1
Round: 3
Estimator Guesses: 2 2 
Coin Player Choices: 0 1 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 2 2 
Coin Player Choices: 0 1 ","{'Player 1 chose: 5': 0.24974470632795645, 'Player 1 chose: 4': 0.24974470632795545, 'Player 1 chose: 3': 0.2502615680365435, 'Player 1 chose: 2': 0.25016306490555373, 'Player 1 chose: 1': 4.297720099540825e-05, 'Player 1 chose: 0': 4.297720099540825e-05}"
"Current player: 0
Round: 3
Coin Player Choices: 0 1 
Estimator Guesses: 2 3 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 1 
Estimator Guesses: 2 3 ","{'Player 0 chose: 5': 0.2501938687533244, 'Player 0 chose: 4': 0.2501938687533241, 'Player 0 chose: 3': 0.25033508360972934, 'Player 0 chose: 2': 0.24927717888362216}"
"Current player: 1
Round: 3
Estimator Guesses: 2 3 
Coin Player Choices: 0 1 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 2 3 
Coin Player Choices: 0 1 ","{'Player 1 chose: 5': 0.24737041816143537, 'Player 1 chose: 4': 0.247370418161435, 'Player 1 chose: 3': 0.2552485464069103, 'Player 1 chose: 2': 0.24981966130169764, 'Player 1 chose: 1': 9.54779842607954e-05, 'Player 1 chose: 0': 9.54779842607954e-05}"
"Current player: 0
Round: 3
Coin Player Choices: 0 1 
Estimator Guesses: 2 4 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 1 
Estimator Guesses: 2 4 ","{'Player 0 chose: 5': 0.33470273591202165, 'Player 0 chose: 4': 0.33470273591202165, 'Player 0 chose: 3': 0.0022824984315913074, 'Player 0 chose: 2': 0.32831202974436546}"
"Current player: 1
Round: 3
Estimator Guesses: 2 4 
Coin Player Choices: 0 1 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 2 4 
Coin Player Choices: 0 1 ","{'Player 1 chose: 5': 0.06173061618199168, 'Player 1 chose: 4': 0.06173061618199168, 'Player 1 chose: 3': 0.752095125172701, 'Player 1 chose: 2': 0.07133832905802896, 'Player 1 chose: 1': 0.026552656702643316, 'Player 1 chose: 0': 0.026552656702643316}"
"Current player: 0
Round: 3
Coin Player Choices: 0 1 
Estimator Guesses: 2 5 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 1 
Estimator Guesses: 2 5 ","{'Player 0 chose: 5': 0.33470273591202165, 'Player 0 chose: 4': 0.33470273591202165, 'Player 0 chose: 3': 0.002282498431591308, 'Player 0 chose: 2': 0.32831202974436546}"
"Current player: 1
Round: 3
Estimator Guesses: 2 5 
Coin Player Choices: 0 1 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 2 5 
Coin Player Choices: 0 1 ","{'Player 1 chose: 5': 0.06173061618199168, 'Player 1 chose: 4': 0.06173061618199168, 'Player 1 chose: 3': 0.752095125172701, 'Player 1 chose: 2': 0.07133832905802896, 'Player 1 chose: 1': 0.026552656702643316, 'Player 1 chose: 0': 0.026552656702643316}"
"Current player: 0
Round: 3
Coin Player Choices: 0 2 
Estimator Guesses: 2 0 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 2 
Estimator Guesses: 2 0 ","{'Player 0 chose: 5': 0.33333333333333337, 'Player 0 chose: 4': 0.33333333333333337, 'Player 0 chose: 3': 0.33333333333333337}"
"Current player: 1
Round: 3
Estimator Guesses: 2 0 
Coin Player Choices: 0 2 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 2 0 
Coin Player Choices: 0 2 ","{'Player 1 chose: 5': 0.16666666666666663, 'Player 1 chose: 4': 0.16666666666666663, 'Player 1 chose: 3': 0.16666666666666663, 'Player 1 chose: 2': 0.16666666666666663, 'Player 1 chose: 1': 0.16666666666666663, 'Player 1 chose: 0': 0.16666666666666663}"
"Current player: 0
Round: 3
Coin Player Choices: 0 2 
Estimator Guesses: 2 1 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 0 2 
Estimator Guesses: 2 1 ","{'Player 0 chose: 5': 0.33297205577065875, 'Player 0 chose: 4': 0.33405588845868284, 'Player 0 chose: 3': 0.3329720557706585}"
"Current player: 1
Round: 3
Estimator Guesses: 2 1 
Coin Player Choices: 0 2 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 2 1 
Coin Player Choices: 0 2 ","{'Player 1 chose: 5': 0.33339743927488713, 'Player 1 chose: 4': 0.33309644820079126, 'Player 1 chose: 3': 0.3333974392748873, 'Player 1 chose: 2': 3.622441647810651e-05, 'Player 1 chose: 1': 3.622441647810651e-05, 'Player 1 chose: 0': 3.622441647810651e-05}"
